X,Y,gid,Name,description,altitudeMode,Status,OneWayRoad,Direction,CityCouncil,PostedSpeedLimit_MPH,Shape.len,ParentPathLength_Miles,ProjectName,MaintainedBy,PhysicalJurisdiction,PathType,ParentTerminiDesc,ParentPathName,FiftyMileLoop,SurfaceMaterial,ProjectTermini,Path_Width_ft,Field_1
-106.532112214241,35.0811548514872,1,Paved Multiple Use Trail - A paved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,N/S,9,<Null>,711.534907,0.13,<Null>,NMDOT,CITY OF ALBUQUERQUE,Paved Multiple Use Trail,from E I-40 Trail to Copper,I-40 Trail N,<Null>,Asphalt,<Null>,<Null>,Paved Multiple Use Trail - A paved trail closed to automotive traffic.
-106.501451006831,35.1131675772788,2,BikeRoute - Cars and bicycles share the street.,,clampToGround,Existing,<Null>,E/W,8,25,2560.938337,0.48,<Null>,CABQ_SM,CITY OF ALBUQUERQUE,BikeRoute,from Chelwood Park to Eastridge,Lexington,<Null>,Asphalt,<Null>,<Null>,BikeRoute - Cars and bicycles share the street.
-106.557189055727,35.1584817288752,3,Paved Multiple Use Trail - A paved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,E/W,4,<Null>,1000.286818,0.18,Wyoming Bikepath,CABQ_PM,CITY OF ALBUQUERQUE,Paved Multiple Use Trail,from Wyoming to Barstow,Harper Trail,<Null>,Asphalt,FROM ACADEMY TO HARPER,8,Paved Multiple Use Trail - A paved trail closed to automotive traffic.
-106.754054196415,35.0326857448271,4,BikeLane - A portion of the street with a designated lane for bicycles.,,clampToGround,Existing,N,N,3,30,3570.122057,0.67,<Null>,CABQ_SM,CITY OF ALBUQUERQUE,BikeLane,from Amole Mesa to Cenote,118th,<Null>,Asphalt,<Null>,<Null>,BikeLane - A portion of the street with a designated lane for bicycles.
-106.717139049567,35.0478159256279,5,Paved Multiple Use Trail - A paved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,"N/W,S/E",3,<Null>,140.475499,0.02,Amole Del Norte Trail,CABQ_PM,CITY OF ALBUQUERQUE,Paved Multiple Use Trail,from Sage to Blake,Amole del Norte Trail,<Null>,Asphalt,Amole Del Norte Channel b/t Sage Rd. and Blake Rd. SW,10,Paved Multiple Use Trail - A paved trail closed to automotive traffic.
-106.716108384352,35.0518622432952,6,Paved Multiple Use Trail - A paved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,E/W,3,<Null>,57.239983,0.01,Amole Del Norte Trail,CABQ_PM,CITY OF ALBUQUERQUE,Paved Multiple Use Trail,from Sage to Blake,Amole del Norte Trail,<Null>,Concrete,Amole Del Norte Channel b/t Sage Rd. and Blake Rd. SW,10,Paved Multiple Use Trail - A paved trail closed to automotive traffic.
-106.717690559305,35.0443580207113,7,Paved Multiple Use Trail - A paved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,"N/W,S/E",3,<Null>,36.490677,0,Amole Del Norte Trail,CABQ_PM,CITY OF ALBUQUERQUE,Paved Multiple Use Trail,from Sage to Blake,Amole del Norte Trail,<Null>,Asphalt,Amole Del Norte Channel b/t Sage Rd. and Blake Rd. SW,10,Paved Multiple Use Trail - A paved trail closed to automotive traffic.
-106.704689602224,35.094347329235,8,BikeRoute - Cars and bicycles share the street.,,clampToGround,Existing,<Null>,E/W,1,25,2901.352276,0.54,<Null>,CABQ_SM,CITY OF ALBUQUERQUE,BikeRoute,from Gallatin to Hildalgo,Fortuna,<Null>,Asphalt,<Null>,<Null>,BikeRoute - Cars and bicycles share the street.
-106.688296594289,35.1009500257349,9,Paved Multiple Use Trail - A paved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,"N/W,S/E",2,<Null>,1368.260424,0.25,<Null>,CABQ_PM,CITY OF ALBUQUERQUE,Paved Multiple Use Trail,from Alameda Blvd to Bridge,Paseo del Bosque Trail,Y,Gravel,<Null>,10,Paved Multiple Use Trail - A paved trail closed to automotive traffic.
-106.696765046262,35.1490081306891,10,BikeLane - A portion of the street with a designated lane for bicycles.,,clampToGround,Existing,<Null>,N/S,1,30,2571.105032,0.48,<Null>,CABQ_SM,CITY OF ALBUQUERQUE,BikeLane,from Montano to Dellyne,Valle Vista,<Null>,Asphalt,<Null>,<Null>,BikeLane - A portion of the street with a designated lane for bicycles.
-106.737962023597,35.1974143513676,11,Paved Multiple Use Trail - A paved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,E/W,5,<Null>,127.682381,0.02,Ventana Ranch - Tract 16 & 17 Onsite,HOA,CITY OF ALBUQUERQUE,Paved Multiple Use Trail,@ Ventana Ranch neighborhood,Ventana Ranch Trail Network,<Null>,Asphalt,Ventana Ranch,10,Paved Multiple Use Trail - A paved trail closed to automotive traffic.
-106.740547670124,35.1956384909579,12,Paved Multiple Use Trail - A paved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,E/W,5,<Null>,246.728361,0.04,Ventana Ranch - Tract 16 & 17 Onsite,HOA,CITY OF ALBUQUERQUE,Paved Multiple Use Trail,@ Ventana Ranch neighborhood,Ventana Ranch Trail Network,<Null>,Asphalt,Ventana Ranch,10,Paved Multiple Use Trail - A paved trail closed to automotive traffic.
-106.727628569411,35.0368561683302,160,Paved Multiple Use Trail - A paved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,"N/E,S/W",3,<Null>,1040.533213,0.19,GRIP II: Unser SW,CABQ_PM,CITY OF ALBUQUERQUE,Paved Multiple Use Trail,from Dellyne to Dennis Chavez,Unser Trail  N,<Null>,Asphalt,Unser Blvd from San Ygnacio to Dennis Chavez SW,10,Paved Multiple Use Trail - A paved trail closed to automotive traffic.
-106.620759864991,35.0815660260374,665,BikeRoute - Cars and bicycles share the street.,,clampToGround,Existing,<Null>,E/W,6,20,1973.969656,0.37,,PRIVATE,CITY OF ALBUQUERQUE,BikeRoute,@ UNM Main Campus,Redondo,<Null>,Asphalt,<Null>,<Null>,BikeRoute - Cars and bicycles share the street.
-106.694042266258,35.1541415251944,14,BikeLane - A portion of the street with a designated lane for bicycles.,,clampToGround,Existing,<Null>,N/S,1,35,1183.179317,0.22,<Null>,CABQ_SM,CITY OF ALBUQUERQUE,BikeLane,from La Orilla to Montano,Taylor Ranch,<Null>,Asphalt,<Null>,<Null>,BikeLane - A portion of the street with a designated lane for bicycles.
-106.605761628838,35.1609475175316,15,Paved Multiple Use Trail - A paved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,N/S,4,<Null>,633.24814,0.11,Vista del Norte Multi-use Trail,CABQ_PM,CITY OF ALBUQUERQUE,Paved Multiple Use Trail,from Balloon Fiesta Park to UNM,North Diversion Channel Trail,<Null>,Asphalt,"Betw.NorthDiversionChannel&VillaCorrralesRd.,s/oVillaLilaRd",8,Paved Multiple Use Trail - A paved trail closed to automotive traffic.
-106.635427784089,35.0804467535152,16,BikeBlvd - A shared roadway optimized by bicycle traffic.,,clampToGround,Existing,<Null>,E/W,2,18,715.074071,0.13,BIKE BLVD  Phase 3,CABQ_SM,CITY OF ALBUQUERQUE,BikeBlvd,from Oak to Jackson,Silver,<Null>,Asphalt,Silver from Oak to Cedar,<Null>,BikeBlvd - A shared roadway optimized by bicycle traffic.
-106.727688968486,35.1224065065898,17,BikeLane - A portion of the street with a designated lane for bicycles.,,clampToGround,Existing,<Null>,"N/E,S/W",1,45,3548.347568,0.67,Unser Boulevard South - Phase I,CABQ_SM,CITY OF ALBUQUERQUE,BikeLane,from Ciruela to Los Volcanes,Unser,<Null>,Asphalt,Unser Boulevard from Ouray Rd. to St. Josephs,4,BikeLane - A portion of the street with a designated lane for bicycles.
-106.70146397762,35.2140815500412,18,BikeLane - A portion of the street with a designated lane for bicycles.,,clampToGround,Existing,<Null>,E/W,5,35,1582.272215,0.29,Paradise Skies Unit 1,CABQ_SM,CITY OF ALBUQUERQUE,BikeLane,from Universe to Coors By-Pass,McMahon,<Null>,Asphalt,From Milkey Way to Bandelier,6,BikeLane - A portion of the street with a designated lane for bicycles.
-106.575729481295,35.2038583806058,19,BikeLane - A portion of the street with a designated lane for bicycles.,,clampToGround,Existing,<Null>,E/W,99,40,3247.467859,0.61,<Null>,NMDOT,BERNALILLO COUNTY,BikeLane,from Bien Mur to W. of I-25,Tramway,Y,Asphalt,<Null>,5,BikeLane - A portion of the street with a designated lane for bicycles.
-106.604550299977,35.1520868337408,20,Crossing- Bicycle or pedestrian under/over crossings.,,clampToGround,Existing,<Null>,"N/E,S/W",4,<Null>,81.149465,0.01,<Null>,CABQ_PM,CITY OF ALBUQUERQUE,Crossing,from NDC to Pan Am,Bear Canyon Trail,<Null>,Concrete,<Null>,10,Crossing- Bicycle or pedestrian under/over crossings.
-106.604835295233,35.1491869810519,21,Crossing- Bicycle or pedestrian under/over crossings.,,clampToGround,Existing,<Null>,N/S,4,<Null>,31.05,0,<Null>,CABQ_PM,CITY OF ALBUQUERQUE,Crossing,from Balloon Fiesta Park to UNM,North Diversion Channel Trail,<Null>,Wood,<Null>,10,Crossing- Bicycle or pedestrian under/over crossings.
-106.604632449363,35.1405994432588,22,Crossing- Bicycle or pedestrian under/over crossings.,,clampToGround,Existing,<Null>,N/S,4,<Null>,79.952635,0.01,<Null>,CABQ_PM,CITY OF ALBUQUERQUE,Crossing,from Balloon Fiesta Park to UNM,North Diversion Channel Trail,<Null>,Wood,<Null>,10,Crossing- Bicycle or pedestrian under/over crossings.
-106.604727001525,35.1402712228652,23,Paved Multiple Use Trail - A paved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,N/S,4,<Null>,207.288441,0.03,PASEO DEL NORTH / NORTH DIVERSION CHANNEL TRAIL,CABQ_PM,CITY OF ALBUQUERQUE,Paved Multiple Use Trail,from Balloon Fiesta Park to UNM,North Diversion Channel Trail,<Null>,Asphalt,Paseo del Norte and NDC Multiuse Trail,10,Paved Multiple Use Trail - A paved trail closed to automotive traffic.
-106.604721081716,35.1398235921019,24,Crossing- Bicycle or pedestrian under/over crossings.,,clampToGround,Existing,<Null>,N/S,4,<Null>,83.830329,0.01,<Null>,CABQ_PM,CITY OF ALBUQUERQUE,Crossing,from Balloon Fiesta Park to UNM,North Diversion Channel Trail,<Null>,Wood,<Null>,10,Crossing- Bicycle or pedestrian under/over crossings.
-106.488325093205,35.1088052494848,878,Unpaved Multiple Use Trail – An unpaved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,Multiple,9,<Null>,843.091585,0.15,<Null>,CABQ_OS,CITY OF ALBUQUERQUE,Unpaved Multiple Use Trail,<Null>,Foothills Trail (365),<Null>,Natural Surface,Sandia Foothills,<Null>,Unpaved Multiple Use Trail – An unpaved trail closed to automotive traffic.
